t,x
0,3.98
16,4.16
32,0.0
48,9.53
64,1.73
80,7.1
96,3.98
112,5.89
128,12.47
144,5.89
160,4.16
176,11.26
192,10.04
208,13.68
224,21.48
240,25.81
256,30.14
272,34.81
288,39.66
304,40.35
320,54.04
336,60.1
352,61.31
368,72.05
384,78.81
400,85.39
416,92.66
432,100.46
448,107.21
464,114.48
480,121.76
496,129.55
512,133.71
528,146.35
544,154.84
560,160.21
576,167.48
592,176.49
608,184.28
624,193.29
640,203.16
656,212.0
672,225.85
688,236.24
704,242.13
720,253.04
736,263.96
752,279.54
768,286.82
784,297.21
800,314.01
816,326.65
832,338.78
848,351.94
864,364.59
880,374.98
896,388.66
912,406.85
928,420.53
944,431.44
960,444.26
976,457.94
992,470.76
1008,485.13
1024,500.37
1040,514.75
1056,530.34
1072,550.08
1088,561.17
1104,577.97
1120,597.19
1136,614.69
1152,632.35
1168,642.22
1184,670.28
1200,682.41
