t,x
0,5.54
16,1.38
32,6.06
48,6.75
64,7.27
80,3.64
96,0.0
112,5.54
128,6.75
144,3.81
160,4.85
176,10.91
192,3.81
208,0.69
224,2.6
240,9.18
256,11.08
272,8.66
288,10.91
304,17.66
320,15.76
336,17.66
352,25.46
368,27.88
384,25.98
400,33.95
416,36.89
432,39.31
448,38.62
464,46.42
480,54.38
496,62.18
512,65.64
528,69.97
544,73.61
560,77.76
576,82.09
592,86.77
608,91.1
624,91.1
640,95.26
656,100.11
672,105.48
688,109.81
704,114.14
720,115.35
736,120.2
752,125.57
768,130.94
784,137.0
800,142.37
816,148.43
832,154.49
848,161.07
864,167.14
880,173.72
896,179.78
912,186.36
928,189.31
944,196.06
960,203.16
976,210.61
992,222.04
1008,224.98
1024,232.09
1040,240.05
1056,247.85
1072,255.64
1088,267.77
1104,271.92
1120,279.72
1136,288.2
1152,294.96
1168,303.44
1184,316.09
1200,320.42
1216,332.89
1232,337.74
1248,346.05
1264,359.39
1280,367.87
1296,373.24
1312,386.58
1328,391.26
1344,400.96
1360,410.48
1376,419.66
1392,429.36
1408,442.52
1424,448.59
1440,458.98
1456,471.1
1472,481.15
1488,487.9
1504,497.43
1520,511.98
1536,522.2
1552,533.11
1568,539.69
1584,554.06
1600,564.98
1616,580.04
1632,586.8
1648,602.56
1664,613.13
1680,624.56
1696,636.16
1712,649.15
1728,662.66
1744,674.79
1760,677.21
