t,x
0,1.21
16,1.04
32,5.89
48,1.73
64,2.42
80,2.94
96,3.64
112,0.0
128,5.37
144,1.73
160,7.1
176,8.31
192,9.52
208,10.74
224,11.95
240,0.0
256,5.89
272,11.95
288,4.85
304,10.74
320,8.31
336,10.22
352,12.12
368,18.7
384,25.29
400,22.86
416,24.59
432,27.02
448,28.92
464,26.5
480,33.08
496,31.17
512,38.45
528,40.35
544,43.3
560,49.88
576,48.15
592,55.42
608,62.52
624,61.31
640,64.43
656,75.86
672,74.65
688,78.29
704,81.92
720,89.72
736,92.66
752,96.99
768,96.3
784,95.78
800,103.57
816,103.57
832,107.21
848,111.37
864,114.14
880,118.29
896,122.97
912,127.3
928,127.3
944,132.15
960,136.13
976,140.98
992,145.83
1008,150.68
1024,156.05
1040,160.9
1056,166.44
1072,171.81
1088,177.18
1104,183.24
1120,188.61
1136,194.68
1152,200.04
1168,206.11
1184,212.17
1200,218.75
1216,224.81
1232,230.87
1248,237.46
1264,244.21
1280,250.79
1296,256.68
1312,263.96
1328,270.54
1344,277.12
1360,284.39
1376,290.63
1392,296.69
1408,308.12
1424,310.37
1440,322.5
1456,329.08
1472,335.83
1488,339.47
1504,350.21
1520,358.18
1536,365.28
1552,372.55
1568,376.19
1584,388.14
1600,395.41
1616,403.21
1632,406.15
1648,418.45
1664,426.76
1680,434.04
1696,442.35
1712,455.17
1728,458.11
1744,466.43
1760,478.2
1776,482.19
1792,490.67
1808,499.16
1824,507.65
1840,516.65
1856,525.14
1872,534.15
1888,547.31
1904,552.16
1920,565.32
1936,570.17
1952,584.2
1968,593.73
1984,598.06
2000,608.1
2016,617.46
2032,627.5
2048,637.2
2064,644.13
2080,660.41
2096,666.13
2112,674.27
2128,679.64
