t,x
0,1.73
16,6.58
32,2.42
48,7.27
64,2.94
80,3.64
96,4.16
112,0.0
128,0.52
144,1.21
160,6.58
176,7.27
192,3.64
208,9.01
224,5.37
240,5.89
256,7.27
272,8.49
288,4.85
304,6.06
320,7.27
336,8.31
352,9.52
368,5.89
384,11.95
400,9.01
416,10.22
432,16.28
448,13.16
464,14.37
480,20.44
496,22.34
512,23.55
528,25.29
544,27.02
560,28.23
576,25.81
592,27.02
608,33.77
624,30.66
640,36.72
656,34.99
672,40.18
688,42.78
704,44.51
720,46.94
736,48.84
752,55.42
768,53.0
784,59.58
800,57.15
816,64.43
832,66.33
848,68.59
864,71.01
880,73.44
896,80.19
912,78.29
928,84.87
944,83.13
960,86.08
976,88.5
992,90.93
1008,98.2
1024,96.3
1040,98.72
1056,101.67
1072,104.09
1088,107.21
1104,109.63
1120,112.58
1136,113.96
1152,116.91
1168,119.33
1184,122.28
1200,124.7
1216,127.82
1232,126.09
1248,133.19
1264,135.61
1280,133.71
1296,140.46
1312,143.41
1328,141.68
1344,144.1
1360,151.38
1376,149.47
1392,151.9
1408,154.84
1424,157.26
1440,159.0
1456,160.9
1472,162.81
1488,164.54
1504,170.43
1520,168.18
1536,170.08
1552,171.81
1568,173.55
1584,175.45
1600,177.18
1616,178.39
1632,180.82
1648,182.55
1664,184.46
1680,186.88
1696,188.61
1712,191.04
1728,193.46
1744,195.89
1760,198.31
1776,200.56
1792,207.32
1808,206.11
1824,208.53
1840,211.48
1856,218.06
1872,221.18
1888,220.48
1904,227.24
1920,226.54
1936,229.66
1952,232.61
1968,235.55
1984,242.83
2000,242.31
2016,245.94
2032,248.89
2048,251.83
2064,259.11
2080,258.41
2096,261.53
2112,264.48
2128,267.59
2144,274.87
2160,274.17
2176,277.29
2192,280.24
2208,283.87
2224,287.51
2240,290.63
2256,294.79
2272,298.94
2288,307.43
2304,311.59
2320,315.22
2336,320.07
2352,324.23
2368,327.87
2384,332.89
2400,337.05
2416,341.03
2432,345.36
2448,349.52
2464,353.85
2480,358.7
2496,362.85
2512,367.18
2528,371.86
2544,376.19
2560,376.19
2576,380.17
2592,388.66
2608,389.53
2624,393.68
2640,402.0
2656,402.69
2672,406.85
2688,415.33
2704,416.03
2720,420.01
2736,424.86
2752,429.19
2768,434.04
2784,437.5
2800,440.62
2816,444.08
2832,447.2
2848,450.67
2864,457.94
2880,457.42
2896,456.9
2912,460.54
2928,467.12
2944,471.45
2960,478.72
2976,478.72
2992,482.88
3008,486.69
3024,490.85
3040,495.52
3056,499.68
3072,499.85
3088,508.17
3104,513.19
3120,517.87
3136,522.02
3152,526.35
3168,531.03
3184,535.36
3200,539.34
3216,543.15
3232,543.67
3248,548.0
3264,552.16
3280,561.34
3296,566.02
3312,570.87
3328,575.54
3344,580.39
3360,581.78
3376,586.63
3392,595.46
3408,601.0
3424,606.37
3440,611.74
3456,616.59
3472,620.4
3488,631.14
3504,632.87
3520,636.16
3536,643.09
3552,647.59
3568,651.4
3584,662.49
3600,666.47
3616,669.94
3632,679.29
3648,680.33
3664,681.89
