t,x
0,1.04
16,5.89
32,1.73
48,2.25
64,7.79
80,0.0
96,1.21
112,7.1
128,9.01
144,6.06
160,8.31
176,1.73
192,4.16
208,6.58
224,9.52
240,12.64
256,20.44
272,18.7
288,22.86
304,31.35
320,30.66
336,34.99
352,39.14
368,48.15
384,57.15
400,66.85
416,72.74
432,74.13
448,83.83
464,90.24
480,92.14
496,98.72
512,101.15
528,111.89
544,114.14
560,121.07
576,128.34
592,136.13
608,144.1
624,152.59
640,160.9
656,168.7
672,178.39
688,187.4
704,196.41
720,206.11
736,215.63
752,221.69
768,236.24
784,242.31
800,257.37
816,264.48
832,274.69
848,290.46
864,296.52
880,312.28
896,324.23
912,332.2
928,344.84
944,357.48
960,369.43
976,386.41
992,394.72
1008,412.21
1024,426.07
1040,435.08
1056,448.93
1072,463.48
1088,476.13
1104,494.83
1120,508.69
1136,519.95
1152,535.19
1168,549.74
1184,569.48
1200,581.43
1216,596.67
1232,617.11
1248,631.14
1264,648.63
1280,661.8
1296,670.46
1312,676.86
