t,x
0,6.58
16,11.26
32,11.43
48,7.1
64,11.95
80,7.79
96,8.31
112,0.0
128,0.52
144,1.04
160,5.89
176,10.74
192,10.74
208,6.41
224,6.41
240,6.58
256,6.41
272,6.58
288,6.58
304,6.41
320,15.59
336,7.1
352,11.95
368,3.46
384,4.16
400,5.2
416,10.74
432,16.11
448,8.31
464,14.38
480,15.59
496,12.64
512,14.38
528,20.26
544,18.01
560,19.74
576,22.17
592,24.07
608,26.33
624,28.75
640,27.02
656,33.6
672,36.72
688,39.66
704,46.94
720,45.03
736,53.0
752,55.94
768,59.06
784,57.68
800,66.16
816,69.11
832,77.07
848,81.23
864,84.87
880,88.5
896,92.66
912,96.99
928,101.15
944,105.31
960,110.15
976,115.0
992,119.16
1008,122.97
1024,128.34
1040,133.19
1056,138.04
1072,142.89
1088,148.26
1104,153.63
1120,158.48
1136,164.54
1152,169.39
1168,173.55
1184,178.4
1200,182.55
1216,187.4
1232,191.73
1248,196.41
1264,201.26
1280,206.63
1296,211.48
1312,216.85
1328,222.39
1344,228.28
1360,237.98
1376,244.04
1392,250.1
1408,251.83
1424,257.89
1440,263.96
1456,269.85
1472,280.06
1488,281.45
1504,290.98
1520,296.52
1536,298.42
1552,308.64
1568,310.37
1584,321.46
1600,319.55
1616,335.14
1632,337.57
1648,344.84
1664,352.63
1680,359.22
1696,367.01
1712,374.46
1728,381.56
1744,389.35
1760,400.61
1776,404.94
1792,417.07
1808,420.01
1824,427.98
1840,435.77
1856,443.74
1872,450.84
1888,457.42
1904,464.0
1920,471.28
1936,476.99
1952,480.46
1968,491.89
1984,499.68
2000,507.48
2016,510.59
2032,519.08
2048,531.55
2064,539.52
2080,547.31
2096,559.26
2112,563.07
2128,566.54
2144,574.5
2160,598.41
2176,592.34
2192,603.43
2208,614.17
2224,629.24
2240,626.81
2256,646.04
2272,650.02
2288,654.0
2304,656.95
2320,675.48
2336,675.83
2352,677.21
2368,682.41
2384,686.04
2400,691.76
