t,x
0,7.1
16,2.95
32,7.8
48,3.64
64,4.16
80,4.68
96,5.37
112,6.58
128,7.8
144,0.0
160,10.22
176,2.95
192,9.01
208,6.06
224,12.64
240,14.38
256,12.64
272,19.23
288,17.49
304,19.92
320,27.19
336,25.81
352,28.93
368,40.88
384,43.99
400,42.78
416,51.1
432,54.73
448,62.53
464,71.01
480,78.81
496,87.29
512,95.78
528,95.09
544,95.61
560,100.63
576,105.31
592,106.52
608,107.73
624,116.39
640,122.45
656,124.19
672,130.07
688,136.31
704,142.89
720,145.32
736,156.05
752,158.48
768,164.54
784,170.6
800,176.49
816,182.03
832,187.92
848,194.5
864,200.57
880,207.15
896,214.6
912,221.18
928,228.45
944,235.03
960,242.83
976,246.46
992,257.9
1008,265.69
1024,268.81
1040,280.24
1056,283.7
1072,294.79
1088,306.91
1104,310.38
1120,314.01
1136,322.5
1152,335.84
1168,339.99
1184,353.16
1200,366.32
1216,375.33
1232,385.02
1248,394.2
1264,403.73
1280,418.28
1296,423.13
1312,437.5
1328,446.51
1344,456.21
1360,460.89
1376,465.22
1392,478.55
1408,488.25
1424,493.62
1440,503.84
1456,518.22
1472,524.45
1488,534.67
1504,548.53
1520,559.26
1536,569.66
1552,575.54
1568,585.24
1584,599.27
1600,605.85
1616,620.23
1632,632.35
1648,640.15
1664,649.15
1680,666.3
1696,673.92
1712,677.73
1728,682.41
1744,682.93
